"ID","Name","Country","Age","Sex","sport_1","sport_2","sport_3","Date_1","Date_2","Date_3","Date_4","post_count_1","post_count_2","post_count_3","post_count_4","follower_count_1","follower_count_2","follower_count_3","follower_count_4","following_count_1","following_count_2","following_count_3","following_count_4","max_likes_1","max_likes_2","max_likes_3","max_likes_4","n_comments_1","n_comments_2","n_comments_3","n_comments_4","n_self_in_1","n_self_in_2","n_self_in_3","n_self_in_4","n_only_self_1","n_only_self_2","n_only_self_3","n_only_self_4"
142,"Usain Bolt","Jamaica",33,"m","100 metres","200 metres",NA,2019-08-09,2019-09-09,2019-10-09,2019-11-09,"1244","1262","1272","1281",9233024,9299603,9329439,9335197,194,202,193,197,165485,581628,181719,139162,748,3353,757,403,9,9,9,10,2,3,2,0
148,"Wayde van Niekerk","South Africa",27,"m","400 metres",NA,NA,2019-08-09,2019-09-09,2019-10-09,2019-11-09,"68","76","91","109",285037,289456,297579,302556,763,763,764,766,13461,14434,24224,20711,43,45,131,164,7,9,10,9,6,8,6,8
114,"David Rudisha","Kenya",31,"m","800 metres",NA,NA,2019-08-09,2019-09-09,2019-10-09,2019-11-09,"199","199","204","40",81965,82564,82978,83321,207,210,222,224,10260,10339,7173,12647,105,106,55,122,10,10,10,10,8,8,7,4
93,"Matthew Centrowitz, Jr.","United States",30,"m","1500 metres",NA,NA,2019-08-09,2019-09-09,2019-10-09,2019-11-09,"376","376","384","386",84142,84337,86782,89355,2,2,2,2,14914,14971,15055,15094,180,182,184,183,10,10,10,9,7,7,6,6
52,"Mo Farah","Great Britain",36,"m","5000 metres","10,000 metres",NA,2019-08-09,2019-09-09,2019-10-09,2019-11-09,"1910","1922","1928","1936",870317,879397,887735,894229,362,362,367,369,33932,34525,47997,78647,187,192,253,675,10,9,9,10,7,7,7,5
2,"Omar McLeod","Jamaica",25,"m","110 metres hurdles",NA,NA,2019-08-09,2019-09-09,2019-10-09,2019-11-09,"265","271","275","276",80724,82557,84280,84404,340,333,295,292,10265,10310,12353,12770,147,147,476,482,9,9,9,9,6,6,7,8
71,"Kerron Clement","United States",34,"m","400 metres hurdles",NA,NA,2019-08-09,2019-09-09,2019-10-09,2019-11-09,"42","42","42","46",16748,16731,16657,24403,574,587,617,630,2506,2529,2565,3990,26,25,26,244,10,10,10,9,8,7,8,7
23,"Conseslus Kipruto","Kenya",25,"m","3000 metres steeplechase",NA,NA,2019-08-09,2019-09-09,2019-10-09,2019-11-09,"46","47","48","52",6050,6044,7326,7498,4381,4305,4301,4301,1267,1274,1344,1802,23,23,23,26,10,10,10,10,8,8,8,6
74,"Eliud Kipchoge","Kenya",35,"m","Marathon",NA,NA,2019-08-09,2019-09-09,2019-10-09,2019-11-09,"270","279","296","321",521529,542877,579071,1030974,1647,1645,1646,1643,38348,87101,92483,222182,193,1410,1182,2000,9,9,9,9,2,2,4,6
27,"Derek Drouin","Canada",29,"m","High jump",NA,NA,2019-08-09,2019-09-09,2019-10-09,2019-11-09,"157","157","157","157",16013,16052,16027,15949,412,414,416,421,3565,3577,3592,3602,48,48,48,48,10,10,10,10,8,8,2,8
