"id","time","censored","total_charges","monthly_charges","contract","payment_method","paperless","gender","senior","partner","dependents","phone_service","multiple_lines","internet_service","online_security","online_backup","device_protection","tech_support","streaming_tv","streaming_movies"
1,1,1,29.85,29.85,"Month-to-month","Electronic check","Yes","Female","No","Yes","No","No","No phone service","DSL","No","Yes","No","No","No","No"
2,34,1,1889.5,56.95,"One year","Mailed check","No","Male","No","No","No","Yes","No","DSL","Yes","No","Yes","No","No","No"
3,2,0,108.15,53.85,"Month-to-month","Mailed check","Yes","Male","No","No","No","Yes","No","DSL","Yes","Yes","No","No","No","No"
4,45,1,1840.75,42.3,"One year","Bank transfer (automatic)","No","Male","No","No","No","No","No phone service","DSL","Yes","No","Yes","Yes","No","No"
5,2,0,151.65,70.7,"Month-to-month","Electronic check","Yes","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No"
6,8,0,820.5,99.65,"Month-to-month","Electronic check","Yes","Female","No","No","No","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
7,22,1,1949.4,89.1,"Month-to-month","Credit card (automatic)","Yes","Male","No","No","Yes","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No"
8,10,1,301.9,29.75,"Month-to-month","Mailed check","No","Female","No","No","No","No","No phone service","DSL","Yes","No","No","No","No","No"
9,28,0,3046.05,104.8,"Month-to-month","Electronic check","Yes","Female","No","Yes","No","Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes"
10,62,1,3487.95,56.15,"One year","Bank transfer (automatic)","No","Male","No","No","Yes","Yes","No","DSL","Yes","Yes","No","No","No","No"
11,13,1,587.45,49.95,"Month-to-month","Mailed check","Yes","Male","No","Yes","Yes","Yes","No","DSL","Yes","No","No","No","No","No"
12,16,1,326.8,18.95,"Two year","Credit card (automatic)","No","Male","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
13,58,1,5681.1,100.35,"One year","Credit card (automatic)","No","Male","No","Yes","No","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
14,49,0,5036.3,103.7,"Month-to-month","Bank transfer (automatic)","Yes","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
15,25,1,2686.05,105.5,"Month-to-month","Electronic check","Yes","Male","No","No","No","Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes"
16,69,1,7895.15,113.25,"Two year","Credit card (automatic)","No","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes"
17,52,1,1022.95,20.65,"One year","Mailed check","No","Female","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
18,71,1,7382.25,106.7,"Two year","Bank transfer (automatic)","No","Male","No","No","Yes","Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes"
19,10,0,528.35,55.2,"Month-to-month","Credit card (automatic)","No","Female","No","Yes","Yes","Yes","No","DSL","No","No","Yes","Yes","No","No"
20,21,1,1862.9,90.05,"Month-to-month","Electronic check","Yes","Female","No","No","No","Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes"
21,1,0,39.65,39.65,"Month-to-month","Electronic check","Yes","Male","Yes","No","No","No","No phone service","DSL","No","No","Yes","No","No","Yes"
22,12,1,202.25,19.8,"One year","Bank transfer (automatic)","No","Male","No","Yes","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
23,1,0,20.15,20.15,"Month-to-month","Mailed check","No","Male","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
24,58,1,3505.1,59.9,"Two year","Credit card (automatic)","Yes","Female","No","Yes","No","Yes","Yes","DSL","No","Yes","No","Yes","No","No"
25,49,1,2970.3,59.6,"Month-to-month","Credit card (automatic)","No","Male","No","Yes","Yes","Yes","No","DSL","Yes","Yes","No","Yes","No","No"
26,30,1,1530.6,55.3,"Month-to-month","Bank transfer (automatic)","Yes","Female","No","No","No","Yes","No","DSL","Yes","Yes","No","No","No","No"
27,47,0,4749.15,99.35,"Month-to-month","Electronic check","Yes","Male","No","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes"
28,1,0,30.2,30.2,"Month-to-month","Electronic check","No","Male","No","Yes","Yes","No","No phone service","DSL","No","Yes","No","No","No","No"
29,72,1,6369.45,90.25,"Two year","Credit card (automatic)","Yes","Male","No","Yes","No","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes"
30,17,0,1093.1,64.7,"Month-to-month","Mailed check","Yes","Female","No","No","Yes","Yes","No","DSL","No","No","No","No","Yes","Yes"
31,71,1,6766.95,96.35,"Two year","Credit card (automatic)","Yes","Female","Yes","Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No"
32,2,1,181.65,95.5,"Month-to-month","Credit card (automatic)","Yes","Male","Yes","Yes","No","Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes"
33,27,1,1874.45,66.15,"One year","Mailed check","No","Female","No","Yes","Yes","Yes","No","DSL","Yes","Yes","Yes","Yes","No","No"
34,1,1,20.2,20.2,"Month-to-month","Bank transfer (automatic)","No","Male","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
35,1,1,45.25,45.25,"Month-to-month","Bank transfer (automatic)","No","Male","Yes","No","No","Yes","No","DSL","No","No","No","No","No","No"
36,72,1,7251.7,99.9,"Two year","Bank transfer (automatic)","No","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No"
37,5,0,316.9,69.7,"Month-to-month","Electronic check","Yes","Male","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No"
38,46,1,3548.3,74.8,"Month-to-month","Credit card (automatic)","Yes","Female","No","No","No","Yes","No","Fiber optic","No","No","Yes","No","No","No"
39,34,0,3549.25,106.35,"Month-to-month","Electronic check","Yes","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
40,11,0,1105.4,97.85,"Month-to-month","Bank transfer (automatic)","Yes","Female","No","No","No","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
41,10,1,475.7,49.55,"One year","Mailed check","No","Male","No","Yes","Yes","Yes","No","DSL","No","Yes","No","No","No","No"
42,70,1,4872.35,69.2,"Two year","Credit card (automatic)","Yes","Female","No","Yes","Yes","Yes","Yes","DSL","Yes","Yes","No","No","Yes","No"
43,17,1,418.25,20.75,"One year","Mailed check","No","Female","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
44,63,1,4861.45,79.85,"Two year","Credit card (automatic)","Yes","Female","No","No","No","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No"
45,13,1,981.45,76.2,"Month-to-month","Electronic check","Yes","Female","No","Yes","No","Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","No"
46,49,1,3906.7,84.5,"Month-to-month","Electronic check","Yes","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","Yes"
47,2,1,97,49.25,"Month-to-month","Mailed check","No","Male","No","No","No","Yes","No","DSL","No","Yes","No","No","No","No"
48,2,0,144.15,80.65,"Month-to-month","Electronic check","Yes","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","Yes","No"
49,52,1,4217.8,79.75,"Two year","Credit card (automatic)","Yes","Male","No","No","No","Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes"
50,69,1,4254.1,64.15,"Two year","Credit card (automatic)","Yes","Female","No","Yes","Yes","Yes","Yes","DSL","Yes","No","Yes","Yes","No","No"
51,43,1,3838.75,90.25,"Month-to-month","Electronic check","Yes","Female","Yes","No","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No"
52,15,0,1426.4,99.1,"Month-to-month","Credit card (automatic)","Yes","Female","No","No","No","Yes","No","Fiber optic","Yes","Yes","No","No","Yes","Yes"
53,25,1,1752.65,69.5,"Month-to-month","Credit card (automatic)","Yes","Female","Yes","Yes","No","Yes","Yes","DSL","Yes","No","No","Yes","Yes","No"
54,8,0,633.3,80.65,"Month-to-month","Credit card (automatic)","Yes","Female","Yes","Yes","No","Yes","Yes","Fiber optic","No","Yes","No","No","No","No"
55,60,1,4456.35,74.85,"One year","Credit card (automatic)","Yes","Female","Yes","Yes","Yes","Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes"
56,18,0,1752.55,95.45,"Month-to-month","Electronic check","Yes","Male","Yes","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes"
57,63,1,6311.2,99.65,"One year","Credit card (automatic)","Yes","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes"
58,66,1,7076.35,108.45,"One year","Electronic check","Yes","Male","Yes","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes"
59,34,1,894.3,24.95,"Two year","Credit card (automatic)","No","Female","No","Yes","Yes","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
60,72,1,7853.7,107.5,"Two year","Credit card (automatic)","Yes","Female","No","No","No","Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes"
61,47,1,4707.1,100.5,"Month-to-month","Electronic check","Yes","Female","No","Yes","No","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
62,60,1,5450.7,89.9,"Month-to-month","Bank transfer (automatic)","Yes","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No"
63,72,1,2962,42.1,"Two year","Bank transfer (automatic)","No","Male","No","Yes","No","No","No phone service","DSL","Yes","Yes","Yes","No","No","No"
64,18,1,957.1,54.4,"One year","Credit card (automatic)","Yes","Female","No","Yes","Yes","Yes","No","DSL","No","No","Yes","Yes","No","No"
65,9,0,857.25,94.4,"Month-to-month","Electronic check","No","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes"
66,3,1,244.1,75.3,"Month-to-month","Electronic check","Yes","Female","No","No","No","Yes","No","DSL","No","Yes","No","Yes","Yes","Yes"
67,47,1,3650.35,78.9,"One year","Electronic check","Yes","Male","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","No","No","No","No"
68,31,1,2497.2,79.2,"Two year","Mailed check","No","Female","No","No","No","Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes"
69,50,1,930.9,20.15,"Two year","Bank transfer (automatic)","No","Female","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
70,10,1,887.35,79.85,"Month-to-month","Mailed check","Yes","Male","No","No","No","Yes","No","Fiber optic","Yes","No","Yes","No","No","No"
71,1,1,49.05,49.05,"Month-to-month","Mailed check","No","Male","No","No","No","Yes","No","DSL","No","No","No","Yes","No","No"
72,52,1,1090.65,20.4,"One year","Electronic check","Yes","Female","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
73,64,1,7099,111.6,"Two year","Bank transfer (automatic)","Yes","Male","Yes","Yes","Yes","Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes"
74,62,1,1424.6,24.25,"Two year","Bank transfer (automatic)","Yes","Male","No","Yes","Yes","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
75,3,1,177.4,64.5,"Month-to-month","Bank transfer (automatic)","Yes","Female","No","No","Yes","Yes","No","DSL","Yes","No","No","Yes","No","Yes"
76,56,1,6139.5,110.5,"One year","Electronic check","No","Female","Yes","No","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes"
77,46,1,2688.85,55.65,"One year","Credit card (automatic)","No","Female","No","No","No","Yes","No","DSL","No","No","No","No","No","Yes"
78,8,1,482.25,54.65,"Month-to-month","Mailed check","No","Female","No","Yes","Yes","Yes","No","DSL","Yes","Yes","No","No","No","No"
