"id","age","political_affiliation","libcon","ownhouse","sex","income","highested","employment","Y2","Y3","Y4","Y5","Y6","Y7","Y8"
10,23.917864476386,"(2) Republican","(2) Conservative","(2) No","(0) Female","(3) $25,000 to $34,999","(6) College graduate","(2) Yes, Part-time","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive"
17,76.093086926763,"(4) Undeclared","(3) Liberal","(1) Yes","(1) Male","(2) $15,000 to $24,999","(7) More than college graduate","(5) Working inside the home only","(-1) Slightly negative","(1) Slightly positive","(-1) Slightly negative","(1) Slightly positive","(1) Slightly positive","(1) Slightly positive","(1) Slightly positive"
29,54.042436687201,"(4) Undeclared","(2) Conservative","(1) Yes","(0) Female","(5) $50,000 to $74,999","(6) College graduate","(5) Working inside the home only","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(1) Slightly positive","(0) Neither negative or positive","(0) Neither negative or positive","(-2) Very negative"
30,38.132785763176,"(4) Undeclared","(2) Conservative","(2) No","(1) Male","(3) $25,000 to $34,999","(7) More than college graduate","(2) Yes, Part-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(-2) Very negative"
32,75.775496235455,"(3) Independent","(2) Conservative","(1) Yes","(0) Female","(2) $15,000 to $24,999","(3) High school graduate","(1) No","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive"
33,63.526351813826,"(3) Independent","(2) Conservative","(1) Yes","(1) Male","(4) $35,000 to $49,999","(6) College graduate","(4) Retired","(-2) Very negative","(1) Slightly positive","(-1) Slightly negative","(1) Slightly positive","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive"
36,45.034907597536,"(4) Undeclared","(2) Conservative","(1) Yes","(1) Male","(6) $75,000 or more","(5) Some college","(2) Yes, Part-time","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive","(1) Slightly positive","(1) Slightly positive","(0) Neither negative or positive"
40,31.559206023272,"(3) Independent","(3) Liberal","(2) No","(0) Female","(2) $15,000 to $24,999","(6) College graduate","(3) Yes, Full-time","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive"
47,42.581793292266,"(4) Undeclared","(3) Liberal","(1) Yes","(1) Male","(3) $25,000 to $34,999","(6) College graduate","(2) Yes, Part-time","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(-1) Slightly negative"
53,47.006160164271,"(1) Democrat","(2) Conservative","(2) No","(1) Male","(4) $35,000 to $49,999","(5) Some college","(3) Yes, Full-time","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative"
